name of the product,pricing,rating,number of ratings,URL
Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUWDAA 750,542,3.8,520,www.amazon.in/Zebronics-Zeb-JUDWAA-750-Wired-Keyboard/dp/B07KR5P3YD?dchild=1
QUANTUM QHM8810 Spill-Resistant Wired Keyboard and Mouse Combo (Black),429,3.6,"1,127",www.amazon.in/Quantum-QHM8810-Keyboard-Mouse-Black/dp/B00L392XV6?dchild=1
Redgear Grim Semi Mechanical RGB Backlit Keyboard  with Floating Key Cap and Double Injection keycaps for PC,799,4.1,947,www.amazon.in/Redgear-Grim-Mechanical-Keyboard-Injection/dp/B07N6LXLWL?dchild=1
"Logitech MK235 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless with Unifying USB-Receiver, Wireless Mouse, 15 FN Keys, 3-Year Battery Life, PC/Laptop - Black","1,445",3.7,700,www.amazon.in/Logitech-MK235-Wireless-Keyboard-Mouse/dp/B01FVV4GC0?dchild=1
"Logitech K230 Compact Wireless Keyboard for Windows, 2.4GHz Wireless with USB Unifying Receiver, Space-Saving Design, 2-Year Battery Life, PC/Laptop- Black",N.A.,4.1,"4,904",www.amazon.in/Logitech-K230-Wireless-Keyboard/dp/B01267B9CW?dchild=1
Saco Chiclet Keyboard Skin Protector Cover for Lenovo Ideapad L340 Gaming Laptop,373,4.1,7,www.amazon.in/Saco-Chiclet-Keyboard-Protector-Ideapad/dp/B07ZFX5P55?dchild=1
BRIX R8 KB-1805 Slim line Keyboard - Wired with USB Accessibility - Desktop Computer and PC Compatible,349,2.6,5,www.amazon.in/BRIX-KB-1805-Slim-line-Keyboard/dp/B081NLHM6M?dchild=1
Saco Keyboard Protector Silicone Skin Cover for Dell Inspiron 5000 5558 15.6-inch Laptop (Black/Clear),373,4.1,71,www.amazon.in/Saco-Keyboard-Protector-Silicone-15-6-inch/dp/B0199YFYFS?dchild=1
"Loopan i8 Mini Wireless Keyboard and Mouse(Touchpad with Backlight) with Smart Function for Smart Tv, Android Tv Box, Raspberry-Pi, Android & iOS Devices (Black)",499,3.9,410,www.amazon.in/Wireless-Keyboard-Touchpad-Backlight-Raspberry-Pi/dp/B07Q9Z5NB2?dchild=1
FEDUS 3 in 1 Combo - Laptop Screen Guard:; Keyboard Protector and Laptop Skin for All Laptops Laptop Accessories Combo Kit Size 15.6,289,2.9,353,www.amazon.in/FEDUS-Combo-Keyboard-Protector-Accessories/dp/B07QV8KWTN?dchild=1
Cosmic Byte CB-GK-12 Neon Rainbow Backlit Mechanical Keyboard with Blue Switch (Black),"1,899",4.3,430,www.amazon.in/Cosmic-Byte-CB-GK-12-Neon-Mechanical/dp/B07PQYFPV8?dchild=1
(Renewed) Amkette Xcite Pro USB Keyboard (Black),269,3.0,35,www.amazon.in/Renewed-Amkette-Xcite-Keyboard-Black/dp/B07K7QDH81?dchild=1
Targus KB55 AKB55TT Bluetooth Multi-Platform Keyboard (Black),"1,099",3.9,92,www.amazon.in/Targus-KB55-Multi-Platform-Bluetooth-Keyboard/dp/B07C7VCTJH?dchild=1
HP Desktop C2500 Keyboard+Mouse,799,4.2,"2,011",www.amazon.in/HP-Desktop-C2500-Keyboard-Mouse/dp/B00CSK1WC0?dchild=1
Foxin FKM-506 PRO Multimedia Keyboard & Mouse Combo (Black),429,2.8,26,www.amazon.in/Foxin-FKM-506-PRO-Multimedia-Keyboard/dp/B07QPCKB85?dchild=1
